season,fantasy_player_id,fantasy_player_name,team,targets,receptions,rec_yards,rec_td,air_yards,yac,adot,ypr,ypt,yac_per_rec,team_targets,target_share,wr_rush_att,wr_rush_yards,wr_rush_td,position,fp,games
2000,00-0006043,T.Glenn,NE,157,77,922,5,0,0,0,11.97402597,5.872611465,0,517,0.303675048,3,35,0,WR,202.7000012,15
2000,00-0006210,J.Graham,SD,105,50,794,3,0,0,0,15.88,7.561904762,0,0,0,0,0,0,WR,147.4000026,12
2000,00-0006331,J.Green,TB,95,47,723,1,0,0,0,15.38297872,7.610526316,0,381,0.249343832,5,13,0,WR,126.6000018,14
2000,00-0006627,A.Hakim,STL,82,53,731,4,0,0,0,13.79245283,8.914634146,0,0,0,5,19,0,WR,152.000001,15
2000,00-0007024,M.Harrison,IND,153,90,1304,11,0,0,0,14.48888889,8.522875817,0,525,0.291428571,0,0,0,WR,286.4000038,15
2000,00-0007103,M.Hatchette,MIN,33,16,190,2,0,0,0,11.875,5.757575758,0,458,0.072052402,0,0,0,WR,46.99999964,11
2000,00-0007120,C.Hawkins,PIT,32,14,167,0,0,0,0,11.92857143,5.21875,0,397,0.080604534,0,0,0,WR,30.70000052,7
2000,00-0007144,D.Hayes,CAR,103,60,860,3,0,0,0,14.33333333,8.349514563,0,518,0.198841699,0,0,0,WR,164.0000027,14
2000,00-0007468,I.Hilliard,NYG,93,51,736,7,0,0,0,14.43137255,7.913978495,0,474,0.196202532,3,19,0,WR,168.5000018,13
2000,00-0007681,T.Holt,STL,131,77,1514,6,0,0,0,19.66233766,11.55725191,0,0,0,1,7,0,WR,265.1000039,15
2000,00-0007744,J.Horn,NO,142,89,1280,7,0,0,0,14.38202247,9.014084507,0,456,0.311403509,6,10,0,WR,260.0000043,15
2000,00-0008059,Q.Ismail,BAL,91,48,648,4,0,0,0,13.5,7.120879121,0,465,0.195698925,0,0,0,WR,136.8000023,12
2000,00-0008060,R.Ismail,DAL,44,25,350,1,0,0,0,14,7.954545455,0,415,0.106024096,8,73,0,WR,75.3000003,8
2000,00-0008210,W.Jackson,NO,72,33,452,5,0,0,0,13.6969697,6.277777778,0,456,0.157894737,0,0,0,WR,108.2000019,13
2000,00-0008313,S.Jefferson,ATL,99,57,785,1,0,0,0,13.77192982,7.929292929,0,471,0.210191083,1,1,0,WR,141.6000013,13
2000,00-0008357,M.Jenkins,ARI,37,15,197,0,0,0,0,13.13333333,5.324324324,0,512,0.072265625,1,-4,0,WR,34.30000076,12
2000,00-0008400,J.Jett,OAK,34,16,299,2,0,0,0,18.6875,8.794117647,0,0,0,0,0,0,WR,57.90000105,10
2000,00-0008454,C.Johnson,PHI,93,52,573,6,0,0,0,11.01923077,6.161290323,0,531,0.175141243,4,18,0,WR,147.100002,14
2000,00-0008560,K.Johnson,CLE,98,57,669,0,0,0,0,11.73684211,6.826530612,0,469,0.208955224,0,0,0,WR,122.8200008,16
2000,00-0008561,K.Johnson,TB,114,65,805,7,0,0,0,12.38461538,7.061403509,0,381,0.299212598,2,5,0,WR,188.0000007,15
2000,00-0008598,P.Johnson,BAL,31,12,156,2,0,0,0,13,5.032258065,0,465,0.066666667,2,21,0,WR,41.70000072,6
2000,00-0008841,R.Jones,SD,37,22,253,0,0,0,0,11.5,6.837837838,0,0,0,0,0,0,WR,47.30000019,7
2000,00-0008962,J.Jurevicius,NYG,48,24,272,1,0,0,0,11.33333333,5.666666667,0,474,0.101265823,0,0,0,WR,57.20000088,10
2000,00-0009163,E.Kennison,CHI,90,52,519,2,0,0,0,9.980769231,5.766666667,0,496,0.181451613,3,72,0,WR,123.1000021,15
2000,00-0009869,J.Lewis,BAL,35,19,161,1,0,0,0,8.473684211,4.6,0,465,0.075268817,3,38,0,WR,45.02000012,7
2000,00-0010007,K.Lockett,KC,49,29,371,2,0,0,0,12.79310345,7.571428571,0,511,0.095890411,0,0,0,WR,78.1000005,12
2000,00-0010477,T.Martin,MIA,49,21,338,0,0,0,0,16.0952381,6.897959184,0,348,0.140804598,0,0,0,WR,54.80000126,7
2000,00-0010500,D.Mason,TEN,80,57,800,4,0,0,0,14.03508772,10,0,422,0.18957346,1,1,0,WR,161.1000016,13
2000,00-0010539,T.Mathis,ATL,119,53,645,5,0,0,0,12.16981132,5.420168067,0,471,0.252653928,1,-5,0,WR,147.0000013,14
2000,00-0010599,D.Mayes,SEA,43,26,241,1,0,0,0,9.269230769,5.604651163,0,470,0.091489362,0,0,0,WR,56.1000011,10
2000,00-0010650,E.McCaffrey,DEN,143,96,1246,8,0,0,0,12.97916667,8.713286713,0,521,0.274472169,0,0,0,WR,270.600004,15
2000,00-0010668,K.McCardell,JAX,123,83,1076,5,0,0,0,12.96385542,8.74796748,0,492,0.25,0,0,0,WR,220.6000038,15
2000,00-0010786,J.McDaniel,BUF,62,38,594,2,0,0,0,15.63157895,9.580645161,0,473,0.131078224,0,0,0,WR,109.4000007,14
2000,00-0010843,W.McGarity,DAL,48,25,250,0,0,0,0,10,5.208333333,0,415,0.115662651,5,46,1,WR,60.60000001,8
2000,00-0010974,J.McKnight,DAL,97,50,896,2,0,0,0,17.92,9.237113402,0,415,0.23373494,0,0,0,WR,151.6000034,14
2000,00-0011568,H.Moore,DET,74,36,410,3,0,0,0,11.38888889,5.540540541,0,456,0.162280702,0,0,0,WR,95.00000083,13
2000,00-0011727,J.Morton,DET,106,55,728,3,0,0,0,13.23636364,6.867924528,0,456,0.23245614,4,25,0,WR,150.3000021,15
2000,00-0011754,R.Moss,MIN,127,76,1395,14,0,0,0,18.35526316,10.98425197,0,458,0.277292576,3,5,0,WR,302.0000031,15
2000,00-0011770,E.Moulds,BUF,151,86,1174,5,0,0,0,13.65116279,7.774834437,0,473,0.319238901,2,24,0,WR,235.8000034,14
2000,00-0011795,M.Muhammad,CAR,143,92,1069,6,0,0,0,11.61956522,7.475524476,0,518,0.276061776,2,12,0,WR,236.1000029,15
2000,00-0012478,T.Owens,SF,139,94,1416,13,0,0,0,15.06382979,10.18705036,0,533,0.260787992,3,11,0,WR,316.7000021,13
2000,00-0012637,J.Pathon,IND,82,46,599,3,0,0,0,13.02173913,7.304878049,0,525,0.156190476,1,3,0,WR,124.2000031,14
2000,00-0012642,D.Patten,CLE,72,38,546,1,0,0,0,14.36842105,7.583333333,0,469,0.153518124,0,0,0,WR,98.60000169,11
2000,00-0013097,K.Poole,NO,35,21,293,1,0,0,0,13.95238095,8.371428571,0,456,0.076754386,0,0,0,WR,56.30000079,10
2000,00-0013232,P.Price,BUF,90,42,569,2,0,0,0,13.54761905,6.322222222,0,473,0.190274841,1,27,0,WR,113.6000016,14
2000,00-0013268,R.Proehl,STL,36,29,409,4,0,0,0,14.10344828,11.36111111,0,0,0,0,0,0,WR,93.90000033,11
2000,00-0013639,J.Rice,SF,109,69,744,7,0,0,0,10.7826087,6.825688073,0,533,0.204502814,1,-2,0,WR,185.2000011,15
2000,00-0013770,A.Rison,OAK,68,39,574,6,0,0,0,14.71794872,8.441176471,0,0,0,0,0,0,WR,132.4000006,13
2000,00-0013888,M.Robinson,CHI,102,55,738,5,0,0,0,13.41818182,7.235294118,0,496,0.205645161,1,9,0,WR,159.7000008,11
2000,00-0014319,C.Sanders,TEN,59,32,526,0,0,0,0,16.4375,8.915254237,0,422,0.139810427,0,0,0,WR,84.60000122,14
2000,00-0014328,F.Sanders,ARI,105,50,702,6,0,0,0,14.04,6.685714286,0,512,0.205078125,0,0,0,WR,156.2000023,15
2000,00-0014489,B.Schroeder,GB,112,62,948,4,0,0,0,15.29032258,8.464285714,0,557,0.201077199,1,12,0,WR,182.0000024,14
2000,00-0014729,B.Shaw,PIT,67,40,672,4,0,0,0,16.8,10.02985075,0,397,0.168765743,0,0,0,WR,131.200002,14
2000,00-0014790,L.Shepherd,MIA,55,33,425,3,0,0,0,12.87878788,7.727272727,0,348,0.158045977,4,3,0,WR,93.80000124,11
2000,00-0014918,T.Simmons,NE,30,14,231,1,0,0,0,16.5,7.7,0,517,0.058027079,0,0,0,WR,43.09999967,10
2000,00-0015063,T.Small,PHI,87,38,551,3,0,0,0,14.5,6.333333333,0,531,0.163841808,1,1,0,WR,111.2000016,13
2000,00-0015218,J.Smith,JAX,144,91,1213,8,0,0,0,13.32967033,8.423611111,0,492,0.292682927,0,0,0,WR,260.3000039,14
2000,00-0015290,R.Smith,DEN,160,92,1522,8,0,0,0,16.54347826,9.5125,0,521,0.307101727,6,99,1,WR,308.1000032,15
2000,00-0015751,J.Stokes,SF,51,27,481,2,0,0,0,17.81481481,9.431372549,0,533,0.095684803,1,6,0,WR,89.70000148,13
2000,00-0015811,T.Streets,SF,41,19,287,0,0,0,0,15.10526316,7,0,533,0.076923077,1,0,0,WR,47.70000064,11
2000,00-0016440,J.Thrash,WAS,74,50,653,2,0,0,0,13.06,8.824324324,0,514,0.143968872,10,82,0,WR,135.4999999,14
2000,00-0016550,A.Toomer,NYG,116,70,901,6,0,0,0,12.87142857,7.767241379,0,474,0.244725738,5,91,1,WR,211.2000022,15
2000,00-0017160,D.Ward,NYJ,98,46,654,2,0,0,0,14.2173913,6.673469388,0,556,0.176258993,4,23,0,WR,125.700002,15
2000,00-0017162,H.Ward,PIT,76,44,636,4,0,0,0,14.45454545,8.368421053,0,397,0.191435768,4,53,0,WR,136.9000016,15
2000,00-0017697,T.Wilkins,IND,66,41,548,3,0,0,0,13.36585366,8.303030303,0,525,0.125714286,3,8,0,WR,114.600002,11
2000,00-0018382,C.Yeast,CIN,49,22,285,0,0,0,0,12.95454545,5.816326531,0,401,0.122194514,1,15,0,WR,52.00000083,11
